language,location,messsage
en,"Normal, IL","RT @Iron_Spike: A billionaire has Notre-Dame covered. Please consider helping these churches, who don't have a wealthy benefactor coming to their rescue. Every little bit helps. https://t.co/7e5pNbHnJK"
es,Argentina,RT @baronjimena: Si ayudaran a que la gente no muera de hambre tan rápido como donan guita para reconstruir Notre Dame...
es,➕✖️,"RT @raulsdargoltz: Siria fue bombardeado y se destrozaron patrimonios de la humanidad como el Teatro de Palmira, estos monumentos son muchos más antiguos que varios de occidente. Pero como no es primer mundo no tuvo la repercusión necesaria  como hoy con Notre Dame https://t.co/QkrfD7Tv4G"
en,"Chicago, IL",New filter on Hinge: did they post a pic of how heartbreaking the Notre Dame fire was
th,คำบางคำรู้สึกได้แต่พูดไม่ได้♥,"RT @sugardaddixx: ล่าสุด François-henri pinault มหาเศรษฐีและเจ้าของแบรนด์ดังระดับโลกอย่าง Gucci และ YSL 
ได้ทำการบริจาคเงินจำนวน 1ร้อยล้านยูโร (หรือคิดเป็น3พันล้านบาทไทย) 
เพื่อสนับสนุนการซ่อมแซ่มมหาวิหาร Notre Dame อันเป็นสัญลักษณ์สำคัญของกรุงปารีส ประเทศฝรั่งเศส
🙏🙏🙏
#NotreDame #Paris https://t.co/TBEeV8wt5M"
es,,"RT @arag2292: Increíble lo que pasó en Notre Dame pensar que ayer nomas me fui a la heladería París, ay apenas me salve https://t.co/4OmL97wcSE"
en,,"RT @ABC: Pres. Trump calls Notre Dame fire ""a terrible sight to behold.""

""That is beyond countries, that's beyond anything. That's a part of our growing up, it's a part of culture. It's a part of our lives."" https://t.co/kiOQsrXiTi https://t.co/ejdycm9IjT"
en,,"when I read the Hunchback of Notre Dame for a Grade 8 project, I have to admit I skipped out on most of the architecture. Although, there’s something about Quasi clutching Esmerelda’s dead body at the end before he “crumbled into dust” at Montfalcon that just warms you right up. https://t.co/eJzxFPRFPE"
pt,,"RT @Rjrr_7: Sobreviveu a Revolução Francesa e a duas guerras mundiais. Corou dezenas de Reis. E nela, Napoleão se tornou Imperador. Quase 1 milênio de história. Majestosa foi Notre-Dame. https://t.co/InhHIWu4HY"
ja,,"RT @yusai00: 火災に遭ったノートルダム大聖堂の「未来」は、遺されたデジタルデータが握っているhttps://t.co/700c0N1W6H
建築家アンドリュー・タロンが、5年かけて大聖堂の内部と外観をレーザースキャナでスキャンした、3D点群データが存在する。これによって、大聖堂の修復はより完全なものになるかもしれない。 https://t.co/5Sa1tk0dwp"
en,"California, USA",RT @washingtonpost: Analysis: Trump and Pence tweeted about Notre Dame fire but said nothing when 3 black churches burned https://t.co/YH863rMfYw
en,NoCal,"RT @MrFilmkritik: White House offered France help and money to rebuild the Notre Dame Cathedral.

Flint is still without clean water.
Puerto Rico still lacks aid.
Three churches were burnt down in Louisiana in what is now being charged as a hate crime. Maybe focus on that, Donnie."
es,"Puerto Asís, Colombia","RT @EpicuroDeSamos_: No es por ponerme canson pero es verdad que Notre Dame era un monumento histórico y artístico de altísima relevancia para la humanidad, pero en Siria se han destruido obras de la misma o mayor categoría (de 10mil años) por la guerra. ¿Por qué eso no se informa de la misma manera?"
en,Somewhere,RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
ca,annaballbona@gmail.com,El conductor del bus nit m'ha parlat de l'estructura i els contraforts de Notre-Dame.
en,,"RT @AmyMek: ALERT!

French Media reported there were no construction workers at the time of the fire at cathédrale Notre Dame &amp; the Church was closed

So WHY is there a video of person at one of the the 2 towers half an hour after the start of the fire?

Anyone have more info?

h/t @sotiridi https://t.co/XijzfbXdXk"
en,UNCG: Political Science&AADS,RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
pt,Westeros,RT @mfgtb_: O incêndio em Notre Dame fez-me perceber que tenho que ficar rica e viajar pelo mundo rápido antes que vá tudo com o crlh
en,"Reading, England","RT @mikegalsworthy: This gets you in the heart. It’s sadly ancient and beautiful. 

Parisians singing as they watch the Notre Dame cathedral burn. What else can they do? 

https://t.co/WoC2TgM9xZ"
es,"Bogotá, D.C., Colombia","RT @HuevoPorSopa: El Espectador: Arde Notre Dame

Q'Hubo: Se chamusca el jorobado

RCN: Petro incendia Notre Dame"
en,,RT @Emollpolitik: Fråga: Ska muslimer runt om i världen(Frankrike) visa sina sympatier till det  kristna folket imorgon efter branden i Notre Damé? Precis som Nyzeeländarna gjorde efter terrordådet i Christchurch? Nej vem försöker jag lura.. Skulle muslimer bry sig om något annat än sig själva?
zh-TW,,"As flames raged, a fire chaplain helped save the treasures inside Notre Dame
https://t.co/yhBYbcjB99"
en,United States,"RT @catturd2: If I had to describe the Notre Dame burning in one word -  it would be -

ARSON."
en,,RT @EmeraldRobinson: Notre Dame fire: The owner of the restoration company - which is very highly regarded - says that absolutely none of his 12 workmen were on site when the fire began. They had already left for the day. https://t.co/9a0B7dzyMB
