language,location,message
fr,"Paris, France",RT @oprfrance: L’entretien des églises parisiennes en question après l’incendie de Notre-Dame https://t.co/LIWzvPrPF0 via @Le_Figaro
fr,"Cap Haitien, Haiti","Les statues ""diaboliques"" de Notre-Dame enflammant le web d’Afrique de l’Ouest : le vrai du faux https://t.co/09r5vj3ZJU"
en,"Los Angeles, CA","RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"Starke, FL","RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"Tampa Bay, Florida",https://t.co/PTckO6MAGe
en,Unknown,RT @cnni: Critics argue the donations meant to repair Notre Dame would be better spent on social programs to help the poor in a country where rising inequality has contributed to the outbreak of recent street protests. https://t.co/qp6NnoEZwH
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"Minneapolis, MN",RT @hafeel_asraf: I would love it if we find out that the Notre Dame burning was done by the yellow vests to prove a point. And they'd be right. 1 billion + in less than a week raised from Rich assholes and corporations for a building.
en,"Colorado, USA","RT @RuthHHopkins: When you’ve seen ancient sacred sites laid waste by bulldozers driven by the trespassing descendants of illegal immigrants from Europe and your Indigenous ancestors burial sites desecrated in one fell swoop, seeing Notre Dame burn is sort of like, oh well 🤷🏻‍♀️"
en,"Ontario, Canada","RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
fr,,"RT @Le_baron_1: NON,
NOTRE DAME N'A PAS BRULEE
TOUTE SEULE  !
C'EST UN ACTE CRIMINEL
COMMANDITÉ.
https://t.co/Ht4boPPxXX"
en,Connecticut,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
es,,"RT @FLagos_Neumann: En Chile muere un niño de 4 años esperando un trasplante de corazón y su Presidente Sebastián Piñera quiere donar cobre y madera para la reconstrucción de Notre Dame.
¡Exigo una explicación!"
en,"Boston, MA","RT @AmyMek: BREAKING: Architect of restorations for Notre Dame Speaks Out! 

Media: ""So your're telling us that this type of timber doesn't burn like that?""

Notre Dame Architect: ""NO, You know, oak that is 800 years old doesn't burn like that....You would need a lot of kindling to succeed."" https://t.co/NBF86wOxDF"
en,"California, USA",NYPD arrests man with gas cans and lighter fluid at St. Patrick's Cathedral days after Notre Dame blaze https://t.co/tqczPR1VtT
en,Washington DC,"In case you missed this: As Notre Dame burned, an algorithmic error at YouTube put information about 9/11 under news videos https://t.co/0PzjT4ZSGo via @NiemanLab"
en,Unknown,RT @cnni: Attention has quickly shifted from the generosity of the Notre Dame pledges to whether the donors would claim generous tax benefits available in France https://t.co/QmCW8jLI6K
en,Philippines,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
ja,日本,RT @raurublock: なるほど、金持ちがノートルダム大聖堂修復のために寄付すると、実は節税のメリットも結構でかいのか。その分社会保障に回る財源も減るとなると、確かに貧乏人は怒るわな https://t.co/eEuv1tkEOF
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
es,,RT @wusa9: Thousands of bees living on Notre Dame’s roof survive catastrophic fire https://t.co/LrEuTnqC0R https://t.co/ZMmmGxIJds
en,"Creve Coeur, MO","RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
pt,,"""Um bilhão de euros doados pelos os ricos em 24 horas para restaurar Notre-Dame"". https://t.co/qfekkXvoYF"
es,La meseta,RT @jzamorabonilla: Suena Calatrava para reconstruir Notre Dame.
fr,Somewhere in time,"RT @MVCDLM: France 2048, 29e année de dons pour Notre Dame qui atteignent les 28 gigazilliards d'orbo-dollars (la nouvelle monnaie mondiale). La Cathédrale se voit dotée de gigantesque jambes robotiques, mais l'armée en perd le contrôle. La cathédrale devient folle et détruit Néo-Paris..."
en,"Ohio, USA",Muslims Rejoice as Notre Dame Cathedral Burns https://t.co/GZjNpOS9lt via @theipatriot
en,"Denver, CO",RT @bruce_jeh: Aerial view of the fire-ravaged Notre Dame. I'm still amazed the Rose Window and other stained glass windows survived. https://t.co/whC4ek5YwP
de,Nowhere,RT @RT_com: French are outraged with idea of reimagining #NotreDameCathedral with modern architecture and materials https://t.co/VA3dOBa56c
en,"Downtown, San Francisco","RT @ajplus: 180,000 bees that live in the Notre Dame survived the fire. Their beekeeper says the smoke didn't hurt them (since they don't have lungs), it just made them fall asleep. 🐝 https://t.co/462d3sjgfX"
en,With my baby 🤷🏽‍♀️,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"Washington, DC","RT @n_yang: The bees are alive! PARIS (AP) — The 180,000 bees kept in hives in Notre Dame Cathedral that were thought to have perished in this week's fire have been discovered alive."
en,boolin,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
fr,Paris,RT @le_Parisien: Notre-Dame de Paris : l’hommage des pompiers de New York à leurs collègues https://t.co/fBJ2cy3IMG
