ADDRESS,LOCATION_TYPE,LATITUDE,LONGITUDE
'Normal, IL','ROOFTOP',40.505988,-89.044379
'undefined','APPROXIMATE',-34,-64
'Chicago, IL','ROOFTOP',41.902042,-87.658544
'California, USA','ROOFTOP',35.125624,-118.021353
'Reading, England','ROOFTOP',51.4580216,-0.9673727
'undefined','APPROXIMATE',39.76,-98.5
'undefined','APPROXIMATE',43.70011,-79.4163
'undefined','APPROXIMATE',6.58333,1.83333
'undefined','APPROXIMATE',40.6295,30.6428
'undefined','APPROXIMATE',40.742185,-73.992602
'undefined','APPROXIMATE',10.48801,-66.87919
'undefined','APPROXIMATE',40.742185,-73.992602
'London, England, United Kingdom.','ROOFTOP',51.5072648,-0.1278328
'undefined','APPROXIMATE',38.8964,-77.0262
'undefined','APPROXIMATE',10.24694,-67.59583
'Cincinnati, Ohio','ROOFTOP',39.166759,-84.53822
'undefined','APPROXIMATE',40.742185,-73.992602
'Rhode Island, USA','ROOFTOP',41.642297,-71.230522
'Nashville, TN','ROOFTOP',36.165688,-86.778098
'undefined','APPROXIMATE',39.76,-98.5
'undefined','APPROXIMATE',8,-66
'undefined','APPROXIMATE',56,10
'Louisville, KY','ROOFTOP',38.188962,-85.676819
'Columbus, OH','ROOFTOP',40.100924,-83.013402
'undefined','APPROXIMATE',50.87959,4.70093
'undefined','APPROXIMATE',39.95234,-75.16379
'undefined','APPROXIMATE',37.38241,-5.97613
'Brooklyn, NY','ROOFTOP',40.694481,-73.989319
'undefined','APPROXIMATE',60,-95
'undefined','APPROXIMATE',-33.45694,-70.64827
'Port Isabel, TX','ROOFTOP',26.07341,-97.20858
'Nowhere you'd want to be in.','ROOFTOP',41.427893,-86.891925
'On an island somewhere/ Fl','ROOFTOP',25.970965,-80.122143
'undefined','APPROXIMATE',44.25029,-85.50033
'undefined','APPROXIMATE',-34.52947,-58.4737
'undefined','APPROXIMATE',-54.5,-67
'undefined','APPROXIMATE',10,-84
'Houston, TX','ROOFTOP',29.813142,-95.309789
'Chicago, IL','ROOFTOP',41.902042,-87.658544
'undefined','APPROXIMATE',-2.18194,-79.89167
'undefined','APPROXIMATE',45.50884,-73.58781
'undefined','APPROXIMATE',35.50472,11.06222
'undefined','APPROXIMATE',44.25029,-85.50033
'undefined','APPROXIMATE',43.10012,-79.06627
'undefined','APPROXIMATE',10,8
'undefined','APPROXIMATE',50.63297,3.05858
'Maryland, USA','ROOFTOP',38.885867,-76.904972
'undefined','APPROXIMATE',43.70011,-79.4163
'undefined','APPROXIMATE',6.66667,2.25
'undefined','APPROXIMATE',-33.86785,151.20732
'Minden, NV','ROOFTOP',39.008718,-119.729731
'Salem, OR','ROOFTOP',44.94878,-123.003655
'undefined','APPROXIMATE',-34,-64
'undefined','APPROXIMATE',-23.4933,-61.9267
'undefined','APPROXIMATE',-42.7692,-65.03851
'Tampa, FL','ROOFTOP',27.996097,-82.582035
'undefined','APPROXIMATE',20.52353,-100.81566
'undefined','APPROXIMATE',40.5773,-77.264
'undefined','APPROXIMATE',10.48801,-66.87919
'Moscow, ID','ROOFTOP',46.735334,-116.870147
'undefined','APPROXIMATE',20,77
'North Carolina, USA','ROOFTOP',35.97502,-80.133442
'undefined','APPROXIMATE',28.75054,-82.5001
'Youngstown, OH','ROOFTOP',41.017082,-80.802854
'undefined','APPROXIMATE',1.3667,103.8
'from Enumclaw, WA','ROOFTOP',47.234107,-121.903936
'undefined','APPROXIMATE',33,44
