VISLAT,VISLONG,REALLAT,REALLONG,NEWLAT,NEWLONG
5195494,6237490,3.10194,60.025,-3.10194,-60.025
2946090,10153700,-19.3921,99.1871,19.3921,-99.1871
3420420,-11870100,-14.6488,-121.0509,14.6488,121.0509
909300,10084990,-39.76,98.5,39.76,-98.5
1296367,766969,-35.88933,5.31979,35.88933,-5.31979
736361.9,8401738.6,-41.489381,81.667486,41.489381,-81.667486
1487904.9,12059830.5,-33.973951,118.248405,33.973951,-118.248405
1086431,8682762,-37.98869,84.47772,37.98869,-84.47772
5683270,-11028050,7.9797,-112.6304,-7.9797,112.6304
909300,10084990,-39.76,98.5,39.76,-98.5
8357718,6060255,34.72418,58.25265,-34.72418,-58.25265
2030782.1,8372319.1,-28.545179,81.373291,28.545179,-81.373291
1135300,-3373340,-37.5,-36.0833,37.5,36.0833
1938458.7,10087878.9,-29.468413,98.528889,29.468413,-98.528889
788418,801378,-40.96882,5.66388,40.96882,-5.66388
7585300,5234990,27,50,-27,-50
908462,8850794,-39.76838,86.15804,39.76838,-86.15804
1767290,9422480,-31.1801,91.8749,31.1801,-91.8749
7184633,6034629,22.99333,57.99639,-22.99333,-57.99639
8485300,6234990,36,60,-36,-60
837859,8230086.8,-40.47441,79.950968,40.47441,-79.950968
-1125567,11599248,-60.10867,113.64258,60.10867,-113.64258
1443217,12204809,-34.42083,119.69819,34.42083,-119.69819
7184633,6034629,22.99333,57.99639,-22.99333,-57.99639
1542938,11995674.3,-33.42362,117.606843,33.42362,-117.606843
709397.1,9050228.1,-41.759029,88.152381,41.759029,-88.152381
2010246,8485000,-28.75054,82.5001,28.75054,-82.5001
504717,-231038,-43.80583,-4.66028,43.80583,4.66028
862875.5,7764146,-40.224245,75.29156,40.224245,-75.29156
1269901.8,9834267.5,-36.153982,95.992775,36.153982,-95.992775
-406753,658450,-52.92053,4.2346,52.92053,-4.2346
8230994,7299817,33.45694,70.64827,-33.45694,-70.64827
875207.6,8536330.2,-40.100924,83.013402,40.100924,-83.013402
8666700,-14261342,37.814,-144.96332,-37.814,144.96332
485300,-10965010,-44,-112,44,112
2317794,10266836,-25.67506,100.31846,25.67506,-100.31846
460271,8785023,-44.25029,85.50033,44.25029,-85.50033
-103140,9949694,-49.8844,97.14704,49.8844,-97.14704
