language,location,message
en,"Bloomfield, NM","@fr_faulkner Doubtless, you are right, though. God save us from architects, especially from European ones who are r… https://t.co/xRDCiIbvMX"
en,,"RT @GefiraFundation: The work had not started yet, only the scaffolding were being assembled,"" confirmed the chief architect of historical…"
en,Paris / Lyon,"@PNWwonk Nope. 
 https://t.co/krgqABrMMF"
en,"Florida, USA",RT @hoaxeye: A firefighter https://t.co/zvBeVB1AKG https://t.co/F3ZKDnAlDp
en,MCR /UK,"RT @ManCathedral: At 7pm on Thursday 18 April, @ManCathedral will join cathedrals and churches across England as we ring the bells for 7 mi…"
fr,"PARIS, FRANCE","RT @saintgobain: 📌  « Le monde de la construction mobilisé pour reconstruire @notredameparis » @Le_Moniteur 
📌 « Major companies from the b…"
en,,RT @NotreDame: The bells of the @ndbasilica tolled 50 times — representing the 50 Hail Marys of Our Lady’s rosary — at 6 p.m. today to mark…
fr,Llanfairpwllgwyngyllgogerychwy,Reconstuire N-D en  5 ans ? I don't think so https://t.co/IWTaNZ3HOa
fr,"Toulon, France","@jannutnadeem Fyi, Pinault family publicly stipulated that they will renounce to any form of fiscal advantage regar… https://t.co/PMRThUMlF2"
en,"Phoenix, AZ",RT @dearsusanbranch: Want GOOD NEWS darling girls? One BILLION donated so far to rebuilding Notre Dame!!! One Billion Fifty counting me!!!…
en,Southern California,"Facebook limits my sharing of this link, so pass it around if you see it. This is how you can help rebuild Notre Da… https://t.co/pSlJr7TYkz"
en,,"RT @MilitarisCath: Investigators are making excuses, ""We may never know who was behind this fire"" https://t.co/ifnWPX3fbR"
fr,"Bordeaux, France",RT @Europe1: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/ibG3fIAIVh
en,Manchester,RT @GMWRAGtweets: Notre Dame has been rebuilt before. It should not therefore be impossible to reimagine the welfare state.  https://t.co/A…
en,"Dorset, England",RT @frsimoncuff: ‘We find the keys. I'm recovering Jesus. And I bless with the Blessed Sacrament the cathedral. It is an act of faith. I as…
fr,"Paris, Europe. Tweets FR/EN/ES",RT @franceintheus: We have received multiple requests about how you can help with the reconstruction of Notre-Dame. Donations to help save…
en,"Widefield, CO","Interpretive task I am leaving for my advanced FR class tomorrow about the Notre Dame fire. https://t.co/n84v09RqMK 
#langchat"
en,"Miami, FL",RT @selenasprocket: Y’all is really donating money to save Notre Dame but did NOTHING about Wannado City? Is y’all fr?
fr,,RT @Europe1: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/ibG3fIAIVh
en,,"RT @incunabula: If you're in the US and would like to donate to the restoration of the Cathedral, this is the official fund. The Friends of…"
fr,,RT @RomainDelaume: 56 countries already engaged in the crowdfunding campaign launched by @DartagnansFR for @notredameparis. From the bottom…
fr,France,RT @Europe1: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/ibG3fIAIVh
pt,I'm in Brazil,"RT @MilitarisCath: Investigators are making excuses, ""We may never know who was behind this fire"" https://t.co/ifnWPX3fbR"
en,Deep State USA,"RT @business: “The Hunchback of Notre-Dame,” by Victor Hugo, jumped to first place on the bestseller list of Amazon France after a fire rav…"
fr,France,RT @Europe1: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/ibG3fIAIVh
fr,,RT @Europe1: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/ibG3fIAIVh
en,"Keyport, NJ via Boston, MA","RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
en,"London, England",‘We find the keys. I'm recovering Jesus. And I bless with the Blessed Sacrament the cathedral. It is an act of fait… https://t.co/zIOASQiHs0
en,"Pennsylvania, USA","RT @HenryMakow: ""The fire protection set up in the cathedral was at its highest level""

""The fire could not start from a short circuit, fro…"
en,DMV,did anyone fr give a fuck about Notre dame before the fire? I think that's fr the question cuz like why do you care… https://t.co/ydIHHR8qtX
en,"Meridian, Ms.  ","RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
fr,France,RT @Europe1: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/ibG3fIAIVh
