language,location,message
sv,"Wonsan, DPRK",Sabotage? https://t.co/697cOtl49W
en,Naarm,"Interesting discussion of some of the questions, both technical and ethical, facing Notre Dame's future conservator… https://t.co/uBZ7YvgiiT"
fr,BRETAGNE  France,undefined https://t.co/MI74CXm7cB
en,World,"Paris churches ring bells in tribute to Notre Dame as France plans rebuilding
Bells tolled at churches across Paris… https://t.co/8ob3sxDHJV"
en,,"Cathedral fire- Evidence points to sabotage

https://t.co/GUvSzBXxFy"
fr,Novalaise,France invites designs for new spire to grace Notre-Dame https://t.co/cSxMaksG70
en,"California, USA",@hchadlane @celia @ImSherryYi @butterypancake2 So the 3D scans will surely be useful but those are not from AC. App… https://t.co/2slHsQdAbL
fr,,"Disney promises $ 5 million to rebuild Notre-Dame de Paris ( Staggs ) 

Disney promet cinq millions de dollars pour… https://t.co/hjC3z4shUe"
fr,Paris,"#NOTRE_DAME An early look at next week’s cover, ""Our Lady,"" by Bob Staake: https://t.co/1ah8n5vgp7… https://t.co/wKsVREJcVV"
fr,,"@Lilith_off @Daichi_TES https://t.co/zG9n2vGd1u Fake, well."
en,"California, USA","Update: actually, no, AC isn’t accurate enough to help out. 🙃 
But thanks anyway!
https://t.co/UBTIwYuwDj"
en,"Bloomfield, NM","@fr_faulkner Doubtless, you are right, though. God save us from architects, especially from European ones who are r… https://t.co/xRDCiIbvMX"
en,Paris / Lyon,"@PNWwonk Nope. 
 https://t.co/krgqABrMMF"
fr,Llanfairpwllgwyngyllgogerychwy,Reconstuire N-D en  5 ans ? I don't think so https://t.co/IWTaNZ3HOa
fr,"Toulon, France","@jannutnadeem Fyi, Pinault family publicly stipulated that they will renounce to any form of fiscal advantage regar… https://t.co/PMRThUMlF2"
en,Southern California,"Facebook limits my sharing of this link, so pass it around if you see it. This is how you can help rebuild Notre Da… https://t.co/pSlJr7TYkz"
en,"Widefield, CO","Interpretive task I am leaving for my advanced FR class tomorrow about the Notre Dame fire. https://t.co/n84v09RqMK 
#langchat"
en,"London, England",‘We find the keys. I'm recovering Jesus. And I bless with the Blessed Sacrament the cathedral. It is an act of fait… https://t.co/zIOASQiHs0
en,DMV,did anyone fr give a fuck about Notre dame before the fire? I think that's fr the question cuz like why do you care… https://t.co/ydIHHR8qtX
fr,Paris,@PhilPhiljac1967 @1tortuerouge @EPhilippePM https://t.co/N7T3dG9hYJ 'pparemment.
en,,Watch what happened at 0:03 in @euromaestro's broadcast: Notre Dame vigil with Euro #euroscope #fb #travel Paris Fr… https://t.co/nzmYGgDKDN
fr,Paris/NewYork/Bastia,Now what ? https://t.co/QhVv2LkHNL
en,Guernsey,"@realDonaldTrump Do they really care about your hollow messages?
https://t.co/W27vhefkz5"
en,United Kingdom,Notre Dame has been rebuilt before. It should not therefore be impossible to reimagine the welfare state.  https://t.co/A3R4pLtMdE
fr,"Paris, France","#NOTRE_DAME An early look at next week’s cover, ""Our Lady,"" by Bob Staake: https://t.co/MJs0TOB5gt… https://t.co/OoSgIv3WNt"
fr,,Huffingtonpost - Black Churches Burned By Arson See Donations Surge After Notre Dame Fire https://t.co/w2y06tRxUM https://t.co/nYO2w6VMCC
fr,,Huffingtonpost - Black Churches Burned By Arson See Donations Surge After Notre Dame Fire https://t.co/KZFRrWYEjQ https://t.co/WcChb7fNiv
en,Catholic Church,"Investigators are making excuses, ""We may never know who was behind this fire"" https://t.co/ifnWPX3fbR"
fr,"Paris, France",Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/ibG3fIAIVh
en,,"@lornebrooker Sir Roger Scruton: ""our burnt Lady reminds us of this spiritual heritage that must not die""… https://t.co/CE61PHu8kC"
en,constanta.romania,congrats https://t.co/djezrBWsXY
en,"Kansas City, Mo.","A hero emerging from the Notre Dame Cathedral fire is Fr. Jean-Marc Fournier, chaplain of the Paris Fire Brigade, w… https://t.co/HYEFTc3eaF"
en,Rome - Hamburg - New York - Krakow - Chicago - Munich,"Paris Hero Is A Traditionalist

The chaplain of the Paris firefighters, Fr. Jean-Marc Fournier— former assistant to… https://t.co/dWmeh5qyyD"
en,Belgium,For people who want to make a donation directly to the French Government for reconstruction of the Notre-Dame (Site… https://t.co/cgoRlCXGbJ
en,"Florence, Italy","First Paris Notre-Dame rebuilding estimates are ~ €1bn

~ €500m have already being offered by French super-wealthy… https://t.co/1Dy7sKbml0"
fr,Bordeaux,Go Greta! Let's elect a MASSIVE green group into the EU parliament! https://t.co/9qhIHLZoRJ
en,New York City,Watch what happened at 3:28 in @euromaestro's broadcast: Notre Dame vigil with Euro #euroscope #fb #travel Paris Fr… https://t.co/WO9UXIur9S
en,,"Fr. Gilbert Sunghera, SJ, associate professor of architecture at @UDMDetroit, discusses the roles a cathedral like… https://t.co/gIpxc0XKQB"
en,France,Possible explanation as to why the fire detectors in Notre Dame didn’t alert the Fire services . A fault may have s… https://t.co/ZLq22N0PJJ
en,,"#Friends please donate to the restoration of the iconic Notre-Dame Cathedral in Paris, France. The Friends of Notre… https://t.co/voNbkXm84r"
en,United Kingdom,"If you wish to donate to the restoration of Notre Dame, you can do so by credit card via the link below.

Please re… https://t.co/SVjBWEsE2n"
en,Manhattan,"@DLVLK @studiotodorovic 😌""#NotreDameDeParis: The Rose Windows Survived the Fire""
h/t @g_annesophie

https://t.co/bbeSsT1BMc"
en,"Marietta, GA",People fr mad at French millionaires for wanting to rebuild the notre dame????
en,anywhere my ❤ is,I'd not rule out anything. It's very obvious Fr govt wants to put out speculation of terrorism by declare within ho… https://t.co/iTuqON7vfg
en,"West Coast, USA","This is a fantastic interview (in French) with father Fournier, who saved some of the treasures at Notre Dame. h/t… https://t.co/3MrMA1fqGl"
en,Luxembourg,Notre Dame Fire: Bells Of All Of France's Cathedrals Ring In Unison (FR BFM) https://t.co/LJR3f8nbKc https://t.co/HTs1cN7vMM
en,,@ShadesOfSaigon fr when my mom told me notre dame was on fire i said ....ok that sucks i guess
en,"McNichols Campus, Detroit, MI","‘Processing the Notre-Dame Fire with Detroit Mercy Architecture Professor Fr. Gilbert Sunghera, SJ’ on #SoundCloud… https://t.co/MSRgIm4Kob"
fr,Novalaise,"Macron’s pledge to restore Notre-Dame in five years is impossible, experts say https://t.co/JuYACACG0G"
ru,"Belarus, Minsk","Okay, here is the information how you can donate to Notre-Dame reconstruction https://t.co/3tfQ5h21Fe"
en,"Los Angeles, California",Friends of Notre-Dame de Paris is accepting donations of any size. https://t.co/Q1LO1r6e7w @notredameparis #donate https://t.co/P8CBSQbMUo
fr,"Paris, France",Millions in Notre-Dame Donations Pour In as France Focuses on Rebuilding https://t.co/5d0uhie4Ne https://t.co/KFCX3VlFyQ
fr,,"Vanguard - We’re shocked at Notre Dame destruction – Onaga, Enugu Catholic Bishop https://t.co/4CpmIyMMkg https://t.co/6QGNxaFnj3"
en,"Washington, DC","Rev. Gilbert Sunghera, SJ, assoc. professor of architecture @UDMDetroit, discussed the meaning of #NotreDame in a n… https://t.co/hEhMDhw7c6"
en,United States,@jxs606 @chrisnettle @IPCC_CH @cz_binance While we believe that saving an art piece as important and historic as th… https://t.co/B4CrOa6GSY
es,"Barcelona, Catalunya",View the map and zoom in on Notre Dame yourself at the BnF:https://t.co/fFlfu5Rq9N
fr,France,Notre-Dame de Paris Medal € 50 donated for the reconstruction of Notre-DameLimited edition of 999 copiesMedal ... https://t.co/MZXVeEsrlJ
en,Luxembourg,Notre Dame Fire: Relics Found Including The Spire's Rooster (FR M6) https://t.co/Bm3aOGrKBp https://t.co/z9JbeZzxOI
en,High Desert,Watch @euromaestro's broadcast: Notre Dame return with Euro #euroscope #fb #travel Paris Fr… https://t.co/gMSEMcDeUn https://t.co/jtOstRrikh
en,Central California,Watch @euromaestro's broadcast: Notre Dame return with Euro #euroscope #fb #travel Paris Fr… https://t.co/zTdEQpekMC https://t.co/j2CGYCa7j7
en,,undefined https://t.co/7LeazMkHor
en,,Vintage memories of Notre-Dame https://t.co/dqY3mkvjIX
fr,"Paris, France",Le fact-checking qui casse le game https://t.co/XQJjqxw9du
en,Toronto,Received my first scam email re fundraising for Notre Dame today. That it came from Fr. Tom Hanks was my first clue… https://t.co/Nsq0rHqEsG
fr,Paris,I’ll be live on @lbc with @IainDale tonight at 7:35pm UK Time to talk about @DartagnansFR international crowfunding… https://t.co/ePbdnRqsDQ
en,Global,Notre-Dame in Paris in 17 vintage photographs https://t.co/FNgXlk0MMS
en,United States,"All. 3. Rose. Windows. Survived. ❤️❤️❤️❤️❤️❤️❤️❤️

Built in the 13th century, those things are fucking otherworldly… https://t.co/1wCoHxCNi2"
fr,France,"#NotreDameDeParis Look Notre Dame #paris #dons 
https://t.co/FdwnCSoUnG"
en,"Washington, D.C.","Our latest podcast: Processing the #NotreDame fire with @UDMDetroit architecture professor Fr. @gsunghera, SJ.  https://t.co/XmyVFkjxGQ"
en,,"@listmouse Not an exact cite, but that sounds incorrect to me. As per this article its maintenance was paid for by… https://t.co/N24bYQEriG"
fi,"Espoo, Suomi",French newspaper Le Parisien reported that a fire alarm went off at Notre Dame shortly after 6 p.m. Monday but a co… https://t.co/jdsuLXaAHE
en,"Seattle, WA",@maggiekb1 The firm is distancing itself claiming no work was underway at the time of the fire and that the electri… https://t.co/PfTGo3USTi
en,| nohr | !?(･_･;?,Y’all is really donating money to save Notre Dame but did NOTHING about Wannado City? Is y’all fr?
it,,Disney promet 5 millions de dollars pour reconstruire #NotreDame https://t.co/lAu2zFSBMQ
fr,"Ile-de-France, France",Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/jbLvfHJACR
fr,Algeria 🇩🇿,"@JaimeOran31 Fake News 
https://t.co/IUr3gLF2Bh"
en,"Los Angeles, California","I can’t read French, but apparently two heat-imaging drones helped firefighters save the two bell towers from the N… https://t.co/bVCl2eq2h8"
en,South Jersey; DMV,"I interviewed @gsunghera, a Jesuit professor of architecture at @UDMDetroit, about the #NotreDameCathedralFire and… https://t.co/lhdVNv2DoV"
en,,"Interactive Before and After views of Notre-Dame 

https://t.co/YxY9m3GJ9n https://t.co/uD9rWSBomh"
en,"Paris, France",A percentage of the sales of Stade Francais' shirts next season will given to the re-building efforts of the Notre… https://t.co/l8MTUygiEd
en,"San Francisco, CA",Notre Dame in the 1840s: https://t.co/y7C5WfBqbq
es,,I share this link of the French National Monuments Centre for anyone interested in participating  in the reconstruc… https://t.co/YEax7Gl9V6
en,"New York, NY",Two great platforms to donate for #NotreDame: @FrenchHeritage (https://t.co/FyywbzXmrX) and The Friends of Notre Da… https://t.co/wYP8ESUWje
fr,Suède,"Hey french people. Despite how heartbroken I was over Notre Dame recently, I do not think an old building should re… https://t.co/TlvCxrkq4m"
fr,"Paris, France",What happened at Notre-Dame https://t.co/p5lnj4GbdA #BigData
fr,Paris,Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/Zxlsl1LjXY
fr,Novalaise,"Ubisoft pledges monetary, tech assistance for Notre Dame Cathedral restoration https://t.co/Vl3d9bHsbt"
fr,,Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/o6j9xMVqU0 via @Le_Figaro
en,,"""The fire protection set up in the cathedral was at its highest level""

""The fire could not start from a short circ… https://t.co/pEObvPHn4E"
fr,"Amman, Jordan",All together with Orange for the revival of Notre Dame via @orange https://t.co/0s7El4rHk2
fr,"Paris, Ile-de-France","Bravo Tonton !
https://t.co/q0KraqfMSF"
en,"Ottawa, Canada","i wonder how much the catholic church is putting up. i feel like they've probably got the pockets, as well as a sig… https://t.co/arwPnFCHaz"
en,,"The internal roof structure at Reims Cathedral was rebuilt in concrete in the 1920s, like a giant Meccano set. That… https://t.co/AD4vX5R6Qr"
en,Emerald Isle - Ireland ☘️,@therealjuh @EightyLevel Like I was saying ... the game version is totally inaccurate in size and other details https://t.co/dZMojikDtT
en,England ,"Fr Jean-Marc Fournier, a Catholic priest and the chaplain of the Paris fire brigade, accompanied the firefighters i… https://t.co/rypYhLQlom"
en,LoUiSiAna,IN PICTURES: Full scale of the damage at Notre-Dame revealed https://t.co/wWY3lPm9St via @TheLocalFrance
en,"Nice, France","@georgionic @GinoRaidy Pinault family (owners of some sort of an industry, so basically rich people) they declared… https://t.co/wRWIokk0GB"
en,LoUiSiAna,'It was bound to happen': Notre-Dame cathedral was beloved but long neglected https://t.co/gj43ryGUIM via @TheLocalFrance
fr,France,Protection divine ? 🙏 https://t.co/hw3hINgoBd
en,In a place,So the man holding the reliquary /weathervane is the architect in charge of the work at Notre-Dane  https://t.co/lPV37H4qAo
en,"Paris, France",Notre-Dame - Le Recap S3#133 - https://t.co/6S7YNGnTdl https://t.co/YNyFzSyCJE
fr,,"18:20 security staff in #NotreDame sacristy see 1st fire alarm on computer screen.
They go to check - apparently th… https://t.co/iXCYb9D6KT"
en,,Reflection On The Notre Dame Fire From Fr. Joseph Gill https://t.co/mgHUIr3KRc
en,United Kingdom,An incredible wave of solidarity has risen over the past few days to save and rebuild #NotreDame. We just want to t… https://t.co/19g5cTNE01
en,"Arlington Heights, IL.",Fr. John Smyth was huge in Chicago-area Catholic circles. He died Tuesday night at Loyola University Medical Center… https://t.co/GsmO8BMCM6
en,"Irvine, California",Beware of scams for donations to help with Notre Dame recovery. Here are 3 official French government supported add… https://t.co/ndlvjOgv7S
fr,Novalaise,Debate: Should Notre-Dame be rebuilt in the mould of the original or reimagined for the modern age?  https://t.co/pDE700KLEd
en,Somewhere Way Out There,"Is the Crown of Thorns saved from the Great Fire of Notre Dame legit?

From Fr. Mark Muñoz - Many friends have inqu… https://t.co/D8pWeTowID"
fr,Paris,Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/Q0i9zhwA4z via @Le_Figaro
en,"Oakland, CA","Almost 1 billion dollars pledged to restore Notre Dame, a building...

https://t.co/ijcJlE5x7f"
fr,"Nantes, France",Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/AGUgW3UmDL
en,,Notre dame Fr is having a girl be the leprechaun this year. Hopefully it brings better luck😩
en,France,undefined https://t.co/8kZJDbuyrb
en,Paris,Will French taxpayers ultimately bear the burden of wealthy families' huge donations to the #NotreDame cathedral? G… https://t.co/G8hV7pLZvT
en,"Manhattan, NY",Disney promet 5 millions de dollars pour reconstruire Notre-Dame ⁦@Le_Figaro⁩  https://t.co/mnaJyHo93b
fr,Paris,#Disney promet 5 millions de dollars pour reconstruire #NotreDame https://t.co/SaHIgl0kYw https://t.co/rhiK8hXXjS
en,,You can donate to help rebuild Notre Dame here: https://t.co/TlclYwh3v3
